name,artist,release_date,length,featured_artists
Invisible Touch - 2007 Remaster,Genesis,01/01/1986,4931-03-01,Stevie Ray Vaughan
King Of The Mountain - Remastered,Midnight Oil,01/01/1997,2947-05-25,"Orgy, Lit"
I'm In Love Again,Fats Domino,01/01/2002,1954433333,
Look Away,Big Country,01/01/1986,4.41,Honeymoon Suite
It Must Be Love,Madness,01/01/1981,3437766667,"Jimmy Buffett, The Jesus and Mary Chain, Lynyrd Skynyrd, Supertramp, Various Artists"
"Hello Again - From ""The Jazz Singer"" Soundtrack",Neil Diamond,01/01/1980,4052216667,"Rickie Lee Jones, Dan Fogelberg, Stevie Wonder, Pink Floyd"
Ribcage,Elbow,01/01/2003,6453333333,"Beck, Army of Anyone, Au Pairs, Rae & Christian"
Charlie Big Potato,Skunk Anansie,01/01/1999,5504433333,"Disturbed, Metallica, Various Artists, Ryan Adams"
Rip It Up,Elvis Presley,01/01/1956,1878433333,"Ricky Nelson, Little Richard"
Venus,Television,01/01/1977,8171-03-01,"Al Green, Steely Dan, Michael Jackson, The Doobie Brothers"
Where The River Flows,Collective Soul,01/01/1995,3597766667,"The Northern Pikes, Savage Garden"
Harmonicas & Tambourines,Hot Hot Heat,01/01/2007,3080883333,"Jeremiah Freed, Black Country Communion, White Lies"
Don't Shed a Tear,Paul Carrack,01/01/1987,4923766667,"XTC, Genesis, The Mighty Mighty Bosstones"
Donna - Single Version,Ritchie Valens,01/01/1959,2516216667,"Bob Dylan, Willie Nelson, Roy Orbison, Otis Redding, Elvis Presley"
Life's What You Make It - 1997 Remaster,Talk Talk,01/01/1986,3127-01-02,
Killed By Death - Live Hamburg Germany 1998,Motörhead,01/01/1999,6.45,"Six Feet Under, Manic Street Preachers, Angus, Elemeno P, Cracker"
Tear It Up,Johnny Burnette & The Rock 'N' Roll Trio,01/01/2008,1912883333,Bif Naked
Kingdom,Ultramarine,01/01/2014,4884883333,"The Karaoke Channel, Ian Thomas"
Turn On Me,The Shins,01/01/2007,3694866667,
The Stops,Elbow,01/01/2005,5056433333,Gram Parsons
End Over End,Foo Fighters,01/01/2005,5866666667,"Puddle Of Mudd, Nine Inch Nails"
A Bad Dream,Keane,01/01/2006,5071333333,"Sly & The Family Stone, Mike Oldfield, The Raconteurs, The Decemberists, R.E.M."
Something To Talk About,Bonnie Raitt,01/01/1991,3792883333,Tracy Chapman
Don't Tell Me You Love Me,Night Ranger,01/01/1982,4380433333,"XTC, REO Speedwagon"
Don't Let Go (Love),En Vogue,01/01/1997,4864666667,"Default, Godsmack"
River,Joni Mitchell,01/01/1971,1911-03-07,Bob Dylan
You Keep Runnin' Away,38 Special,01/01/1982,2980-04-01,"Public Image Ltd., Forrest, Siouxsie and the Banshees, Hoodoo Gurus, The Chills"
This Is the Day,The The,01/01/2001,9511-04-01,"Queens of the Stone Age, Dave Matthews Band, Oasis"
For All the Cows,Foo Fighters,01/01/1995,3487333333,"Bon Jovi, Blue Cheer, Ben Lee, Roger Waters"
Silver And Cold,AFI,01/01/2003,4178433333,"Interpol, Muse, Cold, Angels & Airwaves, Sum 41"
Mysterons,Portishead,01/01/1994,5087333333,"Bush, Crowded House, Iron Butterfly, Lisa Loeb & Nine Stories"
Into Your Hideout,Pilot Speed,01/01/2006,9051-03-01,"Sunfly Karaoke, Patti Smith, Armchair Cynics"
Love of a Lifetime,Firehouse,01/01/1990,4776216667,
Spies,Coldplay,01/01/2000,5312883333,"Kid Rock, Hum"
"Return to Sender - From ""Girls! Girls! Girls!""",Elvis Presley,01/01/1962,2478-02-12,"Martha Reeves & The Vandellas, Johnny Cash, Little Richard, Marvin Gaye"
Long Tall Sally,Elvis Presley,01/01/1956,1878883333,Fats Domino
Young Turks - 2008 Remaster,Rod Stewart,01/01/2008,5040216667,Matchbox Twenty
Fans,Kings of Leon,01/01/2007,3606666667,"Muse, Sheryl Crow"
Turn up the Radio,Autograph,01/01/1984,4641766667,
Word Up!,Korn,01/01/2004,2877766667,"Puddle Of Mudd, Avenged Sevenfold, Rob Thomas, A Perfect Circle, Alice In Chains"
She's Not There,Santana,01/01/1977,4150433333,"Bruce Springsteen, AC/DC"
Verona,Elemeno P,01/01/2003,2773333333,"Nightwish, Head Like A Hole"
Doctor Doctor - 2007 Remaster,UFO,01/01/1974,3051-12-26,"Eagles, Ian Dury"
Been Away Too Long,Soundgarden,01/01/2012,2886-08-12,"The King Khan & BBQ Show, Sick Puppies, Theory of a Deadman, Red, The Offspring"
Bang the Drum All Day - 2015 Remaster,Todd Rundgren,01/01/1982,1909-12-24,"Tom Petty and the Heartbreakers, The Associates"
Open Your Eyes,Guano Apes,01/01/1997,1908-07-22,"Soundgarden, New Order, Pulp"
Cool Slate,Cha Cha Cohen,01/01/1999,5047333333,"Verbena, Foo Fighters, Enuff Z'Nuff, Various Artists, Papa Roach"
Devil in a Midnight Mass,Billy Talent,01/01/2006,2864433333,"Hot Action Cop, Disturbed, Placebo"
Age of Consent - 2015 Remaster,New Order,01/01/1983,3338-12-01,"Oingo Boingo, U2, Australian Crawl, REO Speedwagon, Guns N' Roses"
Fake Empire,The National,01/01/2007,3417333333,"Wilco, Rod Stewart, Coldplay, Kings of Leon, The White Stripes"
The Real Thing,Russell Morris,01/01/1978,6338883333,"Steve Miller Band, The Kinks, Téléphone, KISS, Queen"
An Honest Mistake,The Bravery,01/01/2005,3661766667,"The Used, The Gaslight Anthem, Muse, Papa Roach, Flyleaf"
In The Waiting Line,Zero 7,01/01/2001,4525333333,Radiohead
Check My Brain,Alice In Chains,01/01/2009,9651-03-01,"Scissor Sisters, Say Anything"
No More Heroes - 1996 Remaster,The Stranglers,01/01/1977,3457333333,Rush
She's A Beauty - Remastered 1991,The Tubes,01/01/1983,0111-04-01,"Dio, The Cult"
The Bomb (These Sounds Fall Into My Mind),The Bucketheads,01/01/1995,3382233333,
Father Figure,Army of Anyone,01/01/2006,4074433333,"Hot Hot Heat, Suede, Blue October, Brand New Sin"
You Can't Catch Me - Single Version,Chuck Berry,01/01/1982,2709766667,"The Cars, Japan, Kansas, Paul Carrack"
Cheap Wine & Cheaper Women,Airbourne,01/01/2007,3169333333,Grand Funk Railroad
Frankie And Johnny - Live,Sam Cooke,01/01/1964,3002433333,"Paul Simon, The Who, Elvis Presley, Deep Purple"
Wherever You Will Go,The Calling,01/01/2001,3476666667,"TOOL, Korn"
Cry Little Sister - Theme from ''Lost Boys'',Various Artists,01/01/1987,4768883333,"Tina Turner, Stone Temple Pilots, Crosby, Stills, Nash & Young"
Pyramid Song,Radiohead,01/01/2001,4812216667,"Sam Cooke, José González, The Mountain Goats"
On my Radio,The Selecter,01/01/1997,2745-02-03,"The Lemonheads, Nickelback, Dada, Ian Brown, The Yardbirds"
Hasta Manana,Sparks,01/01/1974,3851766667,"CHIC, The Babys, Peter & Freddy, Gentle Giant, Eric Burdon"
Oh Girl,The Chi-Lites,01/01/2001,3604666667,
Senses Working Overtime - Remastered,XTC,01/01/1982,3226-05-12,"Steely Dan, Queen, Robert Plant"
See You Later,Bill Haley & His Comets,01/01/1959,2780666667,"Little Richard, The Dave Clark Five"
Set My Baby Free,Ian Brown,01/01/1999,4418883333,
Villa Rosie - 2012 Remaster,Blur,01/01/1993,9151-03-01,"Beck, Moist, Ash, Supergrass"
Wild Hearted Son (Edit),The Cult,01/01/2000,4351-04-01,"Elastica, The Band, Machine Head, Hoobastank"
Stacked Actors,Foo Fighters,01/01/1999,1911-09-13,Dave Matthews Band
Kyrie - Single Version,Mr. Mister,01/01/2001,4232666667,
Harvest for the World,The Isley Brothers,01/01/1976,3528883333,"Eagles, Lynyrd Skynyrd, Little River Band, Fleetwood Mac, Lynyrd Skynyrd"
I Forgot to Remember to Forget,Elvis Presley,01/01/1959,1906-10-07,
Cico Buff,Cocteau Twins,01/01/1988,3764666667,"Harlequin, The Northern Pikes"
Babe,Styx,01/01/1979,4432883333,"Pink Floyd, Exile, Journey"
He's Simple,Grandaddy,01/01/2000,4331-09-07,"The Smashing Pumpkins, Anne Murray, Lucinda Williams"
Mourn,Sentenced,01/01/1998,3196-07-18,"The Polyphonic Spree, Portishead, Lighthouse Family, The Shangri-Las"
Me and Mia,Ted Leo and the Pharmacists,01/01/2004,3519366667,"Led Zeppelin, Sevendust, The Datsuns, Cold, The Saints"
Sorted For E's & Wizz,Pulp,01/01/1995,7971-03-01,"Bruce Springsteen, My Bloody Valentine, Candlebox"
Around And Around,Chuck Berry,01/01/1959,2706666667,"The Impressions, Eddie Cochran, The Chantays"
I Should Have Known Better - Remastered 2009,The Beatles,01/01/1964,1907-06-10,"The Doors, The Youngbloods, Marvin Gaye, The Hollies"
The Letter - Live At The Fillmore East/1970,Joe Cocker,01/01/1970,3145-08-15,The Moody Blues
Don't You Just Know It?,"Huey ""Piano"" Smith",01/01/2010,2586666667,
Long Ride,Young Nudy,01/01/2019,3086-10-13,Various Artists
Passive,A Perfect Circle,01/01/2004,3041-07-31,Blondie
"""Get A Shot Of The Refrigerator""",Stereolab,01/01/2006,4386433333,Train
At This Moment (studio Version),Billy Vera & The Beaters,01/01/2010,3914133333,"Aqualung, Michael Marc"
Hold On,Sam & Dave,01/01/1966,5951-02-01,Eddie Floyd
Too Much Monkey Business,Chuck Berry,01/01/1957,2902216667,"Elvis Presley, Little Richard, Fats Domino, Carl Perkins"
Chicks 'N Cars (And The Third World War),Colin James,01/01/1988,2882-10-12,"Blur, Public Image Ltd., The Shamen, DD Smash, Chilliwack"
Dream Police,Cheap Trick,01/01/1979,2963-10-28,"Pretenders, The Motels, Rush"
Anthem for the Year 2000,Silverchair,01/01/1999,4129766667,"The Tragically Hip, Seven Mary Three, Toad The Wet Sprocket, G. Love & Special Sauce, Moby"
Ant Music in the Style of Adam & the Ants,Sunfly Karaoke,01/01/2009,3483333333,"Various Artists, Ultramarine, Jimmy James"
How It Ends,DeVotchKa,01/01/2004,6994666667,Blindspott
Rocco - Dub,Death In Vegas,01/01/1997,6.57,"Marcy Playground, Supergroove, the feelers, Atomic Swing"
I'll Be Around,The Spinners,01/01/1973,3146666667,"David Bowie, King Crimson"
My Back Pages,The Byrds,01/01/1967,3137333333,"The Beatles, Manfred Mann, Elton John"
Letting Go,Straight Lines,01/01/1981,3.54,"Todd Rundgren, Neil Diamond, Pat Travers"
Citizen Erased,Muse,01/01/2001,3912-10-13,Coldplay
One Night (Second 'Sit-Down' Show) - Live,Elvis Presley,01/01/2019,2748-01-29,"King Gizzard & The Lizard Wizard, Big Wreck"
The Night,Disturbed,01/01/2008,4766666667,"Korn, ZZ Top, Thirty Seconds To Mars, Pearl Jam, Foo Fighters"
Whaling,Tim Finn,01/01/2001,5504433333,"Treble Charger, Fuel"
I Don't Need No Doctor,Humble Pie,01/01/2010,4601-08-22,New Order
I Can't Drive 55,Sammy Hagar,01/01/1984,2411-04-01,"Various Artists, David Lee Roth"
Bleed American,Jimmy Eat World,01/01/2001,3024883333,"Papa Roach, Godsmack, Disturbed"
No I In Threesome,Interpol,01/01/2007,3858883333,"Arcade Fire, Kings of Leon"
Cut-Throat,Sepultura,01/01/1996,2651-09-14,"Nailbomb, Limp Bizkit, The Tragically Hip, Metallica"
Dangerzone,Clor,01/01/2005,5352883333,Pat Travers
Get It On,Kingdom Come,01/01/1988,4359933333,Various Artists
Ready Teddy,Elvis Presley,01/01/1956,9231-01-01,"Fats Domino, Carl Perkins, Bo Diddley, Chuck Berry, Little Richard"
I'm Glad You're Mine,Al Green,01/01/1972,2960816667,"The Rolling Stones, Big Brother & The Holding Company, Black Sabbath"
Talking To Clarry,The Bluetones,01/01/1996,6888883333,the feelers
Helplessly Hoping - 2005 Remaster,Crosby,01/01/1969,2620-06-28,"Simon & Garfunkel, The Beatles, Simon & Garfunkel, Neil Young"
Dominion Road,The Mutton Birds,01/01/2002,3909766667,"Republica, Billy Talent, Alanis Morissette, 311"
Rock Steady - 2015 Remaster,Bad Company,01/01/1974,3766883333,"Sugarloaf, Lynyrd Skynyrd, Santana, Yes, Grateful Dead"
Die in the Summertime - Remastered,Manic Street Preachers,01/01/1994,3101333333,
Breadfan - live,Budgie,01/01/2020,6311-07-01,"Max Webster, Sivert Høyem, Thin Lizzy, Skyhooks, Various Artists"
She Will Be Loved - Radio Mix,Maroon 5,01/01/2002,4324216667,
Re-Make/Re-Model,Roxy Music,01/01/1972,5240433333,"The Who, KISS, Crosby & Nash"
Loving The Alien,Velvet Revolver,01/01/2004,7971-05-01,
Phenomena,Yeah Yeah Yeahs,01/01/2006,4168883333,"Hunters & Collectors, The Darkness, Various Artists, Papa Roach"
Love Is A Battlefield - Remastered,Pat Benatar,01/01/2005,4173766667,
I Only Want To Be With You,Dusty Springfield,01/01/1964,2636666667,"Bob Dylan, Led Zeppelin, Led Zeppelin, Deep Purple"
We Weren't Born To Follow,Bon Jovi,01/01/2009,4058216667,"Rise Against, Billy Ocean, 13th Floor Elevators, Anberlin, Collective Soul"
Length Of Love,Interpol,01/01/2005,4111333333,
All Because Of You,U2,01/01/2004,3573333333,Dropkick Murphys
Ask - 2011 Remaster,The Smiths,01/01/1987,3302433333,"Def Leppard, The Romantics, Rush, Dio, Bon Jovi"
People Are Strange,Echo & the Bunnymen,01/01/2006,3638216667,"Athlete, The Chiffons, Lacuna Coil, No Doubt"
Heaven Is 10 Zillion Light Years Away,Stevie Wonder,01/01/1974,3280-04-28,Al Green
Under Cover of Darkness,The Strokes,01/01/2011,3925766667,"Queens of the Stone Age, The Kooks, Foo Fighters"
You're Still The One,Shania Twain,01/01/1997,3536666667,"Coldplay, George Michael, Weezer, Tom Petty, Bryan Adams"
When I See You Smile,Bad English,01/01/1989,4290666667,"Pink Floyd, Urge Overkill, Run–D.M.C., U2"
Strange Magic,Electric Light Orchestra,01/01/2011,4100883333,Red Hot Chili Peppers
Unwell - 2007 Remaster,Matchbox Twenty,01/01/2007,3954433333,"John Paul Young, The Ronettes, Breaking Benjamin, Midlake, Thirty Seconds To Mars"
Diamond In The Rough,Airbourne,01/01/2007,2899333333,
Parklife - 2012 Remaster,Blur,01/01/1994,3084883333,
Because of You,Kelly Clarkson,01/01/2004,3658216667,"Edward Sharpe & The Magnetic Zeros, PJ Harvey, My Chemical Romance"
A Certain Romance,Arctic Monkeys,01/01/2006,5.52,"Billy Talent, Eddie Vedder, Placebo, Amy Winehouse"
Cattle and Cane - Live,The Go-Betweens,01/01/1999,2892-08-20,"Meat Loaf, John Denver, Pink Floyd"
Amor Maior - Acústico,Jota Quest,01/01/2017,2982-03-02,Johnny Burnette & The Rock 'N' Roll Trio
New York Mining Disaster 1941,Bee Gees,01/01/1967,1906-01-14,"Crosby, Stills, Nash & Young, Big Star"
The Sound of Settling,Death Cab for Cutie,01/01/2003,2208433333,"Staind, Breaking Benjamin, A Perfect Circle, No Doubt"
US Forces - Remastered Version,Midnight Oil,01/01/1982,4101766667,Fishbone
Until the Sun Comes,Rival Sons,01/01/2012,2981333333,"Since October, King Gizzard & The Lizard Wizard, HIM, My Morning Jacket"
Original Fire,Audioslave,01/01/2006,3641766667,"In Flames, Sum 41, Rise Against"
One Man Army,Our Lady Peace,01/01/1999,2823-02-04,
I Believe (When I Fall In Love It Will Be Forever),Stevie Wonder,01/01/1972,4884433333,"The Beatles, Steppenwolf, The Beatles"
Aquarius,Boards of Canada,01/01/1998,1916-05-03,"Sweet, Lucinda Williams"
Lately,Stevie Wonder,01/01/1980,4087333333,"KISS, Bob Dylan, Linda Ronstadt"
Against All Odds (Take a Look at Me Now) - 2016 Remaster,Phil Collins,01/01/2016,3439333333,"The Lumineers, Adele, Muse"
Futures,Zero 7,01/01/2006,8871-03-01,
Here's to the Night,Eve 6,01/01/2000,1911-05-26,"Incubus, Coldplay"
3rd Planet,Modest Mouse,01/01/2000,3974883333,
Beetlebum - 2012 Remaster,Blur,01/01/1997,5086883333,"Nirvana, Alanis Morissette, En Vogue"
The Healer,Crown Of Thorns,01/01/2008,3190-06-20,Tracer
Still in Love Song,The Stills,01/01/2003,6771-03-01,"Boards of Canada, Doves, Liam Lynch, Weezer"
Old Enough,The Raconteurs,01/01/2008,3956216667,"Airbourne, Kings of Leon, Funeral For A Friend"
Last Child,Aerosmith,01/01/1976,3437766667,"Grateful Dead, Eagles, Elton John, Ultravox"
Let Me See,Morcheeba,01/01/1998,4358433333,"Tim Finn, Bic Runga, Dave Dobbyn, Supergroove, Supergrass, Manic Street Preachers"
Beauty Queen,Roxy Music,01/01/1973,4685783333,"The Who, Blondie, The Byrds"
Gasoline Alley,Rod Stewart,01/01/1970,4122216667,"Santana, Grateful Dead, Jane Birkin, The Moody Blues, Chicago"
Daydream Believer,The Monkees,01/01/1968,2719-08-09,"The Beatles, Led Zeppelin, Buffalo Springfield"
Wishing (If I Had a Photograph of You),A Flock Of Seagulls,01/01/2008,5071-05-01,"Breaking Benjamin, M.I.A., Various Artists"
The Wallflower (AKA Roll With Me Henry) - Single Version,Etta James,01/01/2011,3128433333,"Done Again, Au Pairs, Wilco, Ty Segall"
Afterlife,Avenged Sevenfold,01/01/2007,5873766667,"Arctic Monkeys, Papa Roach, Jet"
Untitled,Interpol,01/01/2002,3944433333,
London Leatherboys,Accept,01/01/1983,3964433333,
Julia - Remastered 2009,The Beatles,01/01/1968,2944433333,"Joni Mitchell, Bob Dylan, Joni Mitchell"
Crystal Baller,Third Eye Blind,01/01/2003,4257766667,
Stairway,Yukon Blonde,01/01/2012,3376433333,"Blacklistt, Japanther, the feelers"
Crosseyed and Painless - 2005 Remaster,Talking Heads,01/01/1980,4760216667,"Billy Joel, Anthrax, The Modern Lovers"
Fast Cars - 1996 Remastered Version,Buzzcocks,01/01/1978,2448216667,"Dire Straits, Krokus, Saxon, Alice Cooper, Madness"
Davidian,Machine Head,01/01/1994,4943766667,"White Zombie, Screaming Trees"
Damaged Goods,Gang Of Four,01/01/1979,3453333333,"Suicidal Tendencies, Billy Squier"
Good Rockin' Tonight,Elvis Presley,01/01/1959,2192883333,Various Artists
Love Is A Losing Game,Amy Winehouse,01/01/2006,2569333333,"The Mars Volta, of Montreal, Staind, Shinedown"
Demons,Super Furry Animals,01/01/1997,1914-03-13,
Trip the Darkness,Lacuna Coil,01/01/2012,3231333333,"Adam & The Ants, Red, Thee Oh Sees, 13th Floor Elevators"
Save Tonight,Eagle-Eye Cherry,01/01/1998,9871-03-01,"Various Artists, Duran Duran"
Slave,Weezer,01/01/2002,2888883333,"Cat Power, Giant Drag"
Come On,Ritchie Valens,01/01/1959,2076433333,"Sam Cooke, Eddie Cochran, Elvis Presley, Martha Reeves & The Vandellas"
Something to Die For - Single Mix,The Sounds,01/01/2011,3719766667,"Baby Land, The Fray, The Checks, Dr. Dog"
Collective Dreamwish Of Upperclass Elegance,Grandaddy,01/01/1997,1914-11-16,"The Beautiful South, The Guess Who, The Tragically Hip"
Can You Dig It?,The Mock Turtles,01/01/2003,4182216667,
Dark Days,Parkway Drive,01/01/2012,2025-09-04,
The First Cut Is the Deepest,Various Artists,01/01/2001,3270216667,"The Tragically Hip, Blur, The Polyphonic Spree, Sentenced"
House Of Cards,Radiohead,01/01/2007,3398-01-20,"Coldplay, The Mountain Goats"
Birth,The Godfathers,01/01/2011,1471-04-01,"Bad Company, Quicksilver Messenger Service"
Strange & Beautiful (I'll Put a Spell On You) - From KCRW.Presents,Aqualung,01/01/2005,3864666667,"Rufus Wainwright, Michael Marc, Elliott Smith, Joan Baez, Sufjan Stevens"
Stricken,Disturbed,01/01/2005,0871-04-01,"Good Charlotte, Linkin Park, The Ataris, Linkin Park"
Night Prowler,AC/DC,01/01/1979,1917-09-13,"David Bowie, Lynyrd Skynyrd, Nazareth, Sylvester"
Mistress Mabel,The Fratellis,01/01/2008,4420216667,"Dropkick Murphys, Dropkick Murphys, Manic Street Preachers"
I Will Wait,Mumford & Sons,01/01/2012,1912-08-16,
Jingle Bell Rock,Bobby Helms,01/01/1992,2182883333,"Scorpions, Pixies"
Where Have All The Good People Gone?,Sam Roberts Band,01/01/2003,4407766667,"Sevendust, Elemeno P, Dead Kennedys"
Pure And Easy - Remastered 2017,Pete Townshend,01/01/1972,5391-05-01,"The Move, Southside Johnny And The Asbury Jukes"
Room to Breathe,Blindspott,01/01/2003,4010433333,"Robert Plant, Stevie Ray Vaughan, The Smashing Pumpkins, Tokio Hotel, Powerman 5000"
Out Of Line,The Bravery,01/01/2005,3066883333,
Heaven Coming Down,The Tea Party,01/01/1999,3001-01-22,"Kool & The Gang, Scissor Sisters"
Too Much,Elvis Presley,01/01/2002,2580666667,AFI
Sunday Morning,No Doubt,01/01/1995,5511-04-01,"Hum, Fuel, Alice In Chains, Everclear, Bran Van 3000"
When I'm With You,Sheriff,01/01/1982,3967333333,"Supertramp, Night Ranger, Eagles"
What Is Love?,Deee-Lite,01/01/1990,3674666667,
Hall of Fame (feat. will.i.am),The Script,01/01/2012,2824-03-10,"Cage The Elephant, Three Days Grace, Shinedown, Kid Rock, Nickelback"
Automatic Stop,The Strokes,01/01/2003,3450483333,"Queens of the Stone Age, The White Stripes, The Whitlams, David Bowie, Frankie Lymon & The Teenagers"
Inside - Live,Ray Wilson,01/01/2011,9511-05-01,
Someone Somewhere (In Summertime),Simple Minds,01/01/1982,4.63,
Faster,Manic Street Preachers,01/01/2011,9251-03-01,
I'm So Glad,Cream,01/01/1966,3966666667,"The Rolling Stones, Fleetwood Mac, The Velvet Underground, Canned Heat"
Atlantic,Keane,01/01/2006,2251-04-01,
Take Me to the River,Al Green,01/01/1974,3756216667,"Eric Clapton, Bee Gees"
Numb,Portishead,01/01/1994,3.93,"Annie Lennox, The Verve Pipe, The Orb, Ben Folds Five, James Brown"
Indian Summer,Beat Happening,01/01/1988,1908-06-10,
Banquet,Bloc Party,01/01/2005,3276883333,"10 Years, A Flock Of Seagulls, blink-182, Black Stone Cherry"
Shotgun,Jr. Walker & The All Stars,01/01/1965,2943766667,"The Rolling Stones, The Beatles, Traffic"
Honey Love (with Clyde McPhatter),The Drifters,01/01/2005,2450216667,Yo La Tengo
Sliver,Nirvana,01/01/1992,2274883333,"The Cure, The Cult, Def Leppard, KISS"
Maggie's Farm,Bob Dylan,01/01/1965,3910433333,"Four Tops, The Isley Brothers, Dusty Springfield, The Byrds, Eric Clapton"
Dolor,Amparanoia,01/01/2017,9585-02-01,"The Tea Party, The Rolling Stones"
Du ska va president,Imperiet,01/01/1990,4279333333,"Great White, Three Dog Night, Poe"
Dream Lover,Bobby Darin,01/01/2004,2511766667,
Bliss,Muse,01/01/2001,4185766667,"Cake, Sevendust"
One Last Breath,Creed,01/01/2001,3970666667,
I'll Come Running - 2004 Digital Remaster,Brian Eno,01/01/1975,3829733333,"The Isley Brothers, Grateful Dead, Bob Dylan"
Sunflower,Paul Weller,01/01/1993,4113766667,"Eve 6, Prince, Material Issue, The Shangri-Las, R.E.M."
Alien,Pennywise,01/01/1999,4118883333,"Bush, U2, blink-182, No Doubt, Supergrass"
This Life,Primer 55,01/01/2001,4711-03-01,Mutemath
Uncle Albert / Admiral Halsey - Medley / Remastered 2012,Paul McCartney,01/01/1971,9191-04-01,"The Mamas & The Papas, AC/DC, Yes, Pink Floyd, The Beatles"
Think For A Minute - Single Version,The Housemartins,01/01/1988,3487333333,"Colin James, Lenny Kravitz, The Jeff Healey Band"
Loyal,Dave Dobbyn,01/01/1988,4661766667,"Australian Crawl, The Dream Academy, Nirvana"
It's Late,Ricky Nelson,01/01/1959,1994433333,"Fats Domino, Elvis Presley"
(Love Is Like A) Heat Wave,Martha Reeves & The Vandellas,01/01/1963,2644-01-14,"The Association, The Velvet Underground"
Gimme Sympathy,Metric,01/01/2009,3.91,"Thirty Seconds To Mars, AC/DC, Cage The Elephant, Halestorm, Nickelback"
Chicago,Sufjan Stevens,01/01/2005,6076883333,"Powderfinger, Phoenix, Stevie Wonder"
Say Hello to the Angels,Interpol,01/01/2002,4474216667,Trapt
Kinky Afro,Happy Mondays,01/01/1999,2992-11-04,Dave Matthews Band
What You Want,Evanescence,01/01/2011,3689333333,"Ty Segall, The Tragically Hip"
Amanda,Boston,01/01/1986,4.27,"Crowded House, Dire Straits, Europe"
There She Goes Again,The Velvet Underground,01/01/1967,2683766667,"Deep Purple, The Who, Creedence Clearwater Revival, Yes"
The Rat,The Walkmen,01/01/2004,4368433333,"Fuel, Andrew W.K., Nickelback, A Perfect Circle"
What's My Scene,Hoodoo Gurus,01/01/1987,3832216667,"Tom Petty and the Heartbreakers, Mr. Big, The Hooters, Dire Straits"
Cancer,My Chemical Romance,01/01/2006,2382883333,"Paramore, Blur, U2, Chris Isaak, of Montreal"
Buried Alive,Avenged Sevenfold,01/01/2010,6739766667,
Evie (Part One),Stevie Wright,01/01/1974,4.0,"Lee Michaels, Bob Seger"
New Gold Dream (81/82/83/84) - Remastered 2002,Simple Minds,01/01/1982,1915-06-28,"Dire Straits, Def Leppard, Joy Division, Genesis, AC/DC"
Son Of A Gun,The Vaselines,01/01/1992,3762666667,"Return, Tonic, Faith No More"
Are 'Friends' Electric?,Gary Numan,01/01/1979,5.42,"Lynyrd Skynyrd, Meat Loaf, The Jam"
Would I Lie to You - 2011 Remaster,Whitesnake,01/01/1981,1912-04-10,"Scorpions, FM, Streetheart, DEVO"
Sweet Nothin's,Brenda Lee,01/01/1960,2.41,Elvis Presley
Send Me An Angel,Scorpions,01/01/1990,3147-04-07,"Tom Petty, Radiohead, Crowded House, Blind Melon"
Over It,Dinosaur Jr.,01/01/2009,3788433333,British Sea Power
Will You Still Love Me? - Alternate,Chicago,01/01/1986,4221333333,"The Orb, XTC"
This Love Affair,Rufus Wainwright,01/01/2004,3.22,"Gram Parsons, Bonnie ""Prince"" Billy, Joe Bonamassa"
Walk Idiot Walk,The Hives,01/01/2004,3530216667,"Pennywise, Wanda Jackson, New Found Glory"
Runaway,Bon Jovi,01/01/1984,3844433333,Judas Priest
Dear Agony,Breaking Benjamin,01/01/2009,4304216667,"Slipknot, Crossfade, Five Finger Death Punch"
Ballad of Easy Rider,The Byrds,01/01/1969,0711-02-01,"The Guess Who, The Guess Who, Santana, Genesis, Eric Clapton"
Hey Little Girl,Various Artists,01/01/2019,2252216667,
Shooting The Moon,Mona,01/01/2011,4111-03-01,"Prince, Aerosmith, Suede"
Side,Travis,01/01/2001,3987333333,"Blondie, Interpol, Sum 41, Chevelle"
This Modern Love,Bloc Party,01/01/2005,4426883333,"Papa Roach, Sugarcult"
Ocean Avenue,Yellowcard,01/01/2003,3304433333,"Hollywood Undead, Amy Winehouse, Fastball"
Wire To Wire,Razorlight,01/01/2008,2971333333,"Elvis Costello, Bobby Vee, Buddy Holly, Various Artists, Various Artists"
My Michelle,Guns N' Roses,01/01/1987,3644433333,"David Lee Roth, Eric Clapton, The Romantics, Bruce Springsteen"
Circuital,My Morning Jacket,01/01/2011,1920-01-23,"Slash, ZZ Top"
Short Fat Fannie,Larry Williams,01/01/1959,2442666667,"Elvis Presley, Elvis Presley, Elvis Presley"
Public Service Announcement,The Bravery,01/01/2005,3581766667,"Elwood, Busted"
Good Souls,Starsailor,01/01/2001,4884433333,"Headless Chickens, Eve 6, Athlete"
Nothing to Lose,Billy Talent,01/01/2003,3637766667,44
Don't Let's Start,They Might Be Giants,01/01/1986,2600666667,"Genesis, James Brown, Todd Rundgren, Jerry Harrison, Blur"
Rock The Boat,Forrest,01/01/1983,3159-04-14,"The The, R.E.M., Red Rider"
Bring Me Down,Puddle Of Mudd,01/01/2001,4041766667,"Boards of Canada, The Hellacopters, Lo Fidelity Allstars, Finger Eleven"
Baby You're the Greatest,Enuff Z'Nuff,01/01/1998,7511-04-01,blink-182
Loudmouth - 2016 Remaster,Ramones,01/01/1976,2511-02-01,"Bad Company, Led Zeppelin, Iron Maiden, Queen, The Doobie Brothers"
