index,name,artist,release_date,length,featured_artists
2886,"Fun, Fun, Fun (Mono)",The Beach Boys,1964,2.3151,"Bill Haley & His Comets, The Who, The Beatles, Jimi Hendrix, Creedence Clearwater Revival"
2887,Missing You,John Waite,1984,4.496,"The Charlie Daniels Band, Bryan Adams, TOTO, Bryan Adams, Kim Carnes"
2888,Waving Flags,British Sea Power,2008,4.126216667,"Opshop, The Tragically Hip"
2889,Soul Love - 2012 Remaster,David Bowie,1972,3.569966667,"Supertramp, Elvis Costello"
2890,Blue Bell Knoll,Cocteau Twins,1988,3.358433333,Rush
2891,Heaven in Your Eyes,Loverboy,1989,4.053766667,"Frankie Goes To Hollywood, Chicago, The Orb, Jimmy Buffett, The Animals"
2892,What'Cha Gonna Do About It,Small Faces,1966,1.954433333,"Deep Purple, The Kinks, Deep Purple, The Who, Derek & The Dominos"
2893,crushcrushcrush,Paramore,2007,3.156216667,"Madonna, The Chiffons"
2894,Vapour Trail - 2001 Remaster,Ride,1990,4.294433333,The Cure
2895,Baby's On Fire - 2004 Digital Remaster,Brian Eno,1973,5.322883333,"Santana, Van Halen"
2896,Hard Road,Sam Roberts Band,2003,4.112216667,"Opshop, The King Khan & BBQ Show"
2897,Double Shot (Of My Baby’s Love),The Swingin' Medallions,2020,2.357333333,"Max Webster, Max Webster, 311, The Rolling Stones"
2898,Eat The Rich,Various Artists,2020,4.183333333,Joan Jett & The Blackhearts
2899,It's Still Rock and Roll to Me,Billy Joel,1980,2.940666667,"Chicago, REO Speedwagon, The Band, Eurythmics"
2900,The Bitter End,Placebo,2003,3.176216667,The Killers
2901,Keep on Swinging,Rival Sons,2012,3.990216667,"Shannon and The Clams, King Gizzard & The Lizard Wizard"
2902,The Reflex - Single Version; 2010 Remaster,Duran Duran,1983,4.4571,"Depeche Mode, Michael Schenker Group"
2903,The Reasons,The Weakerthans,2003,2.84555,Treble Charger
2904,Nothing Remains,Chimaira,2005,5.60555,AFI
2905,A Really Good Time,Roxy Music,1974,3.764,"The Guess Who, The Byrds, Stevie Wonder, Eric Clapton, Santana"
2906,Miss Misery (Early Version),Elliott Smith,2007,2.937766667,
2907,She's Always a Woman,Billy Joel,1977,3.356216667,Pink Floyd
2908,Just the Two of Us (feat. Bill Withers),"Grover Washington, Jr.",1985,3.951766667,"TOTO, Bronski Beat, Scorpions"
2909,Firestarter,The Prodigy,1997,4.663333333,
2910,Rainy Monday - Bimbo Jones Vocal Mix,Chris Domingo,2009,8.451766667,
2911,"Yester-Me, Yester-You, Yesterday",Stevie Wonder,1969,3.088216667,"Cream, The Guess Who"
2912,When You Walk In the Room - Mono Version,The Searchers,1964,2.341333333,"The Kinks, Various Artists, The Rolling Stones"
2913,Sacrifice,Elton John,1989,5.068883333,"Prince, REO Speedwagon, Bryan Adams, Mike & The Mechanics"
2914,Rainbow Chaser,Nirvana,2018,2.639333333,"Elton John, Various Artists, Grandaddy, Elton John"
2915,Oh! You Pretty Things - 2015 Remaster,David Bowie,1971,3.2331,"Pink Floyd, Neil Young"
2916,Check,Rustic Overtones,1998,2.916216667,"Lake Of Tears, Super Furry Animals"
2917,Wires,Athlete,2005,4.3451,"GANGgajang, Staind, Ty Segall, Kasey Chambers"
2918,Quiet Life,Japan,1979,4.818,Sherbet
2919,Oh Love,Green Day,2012,5.054883333,"Sleeper, The Wombats, Shinedown, The Killers, Dr. Dog"
2920,Body Count's in the House,Body Count,1992,3.403333333,"The The, The Rolling Stones"
2921,Painted On My Heart - Originally Performed By The Cult,Midifine Systems,2014,4.038083333,"B the Star, Blur, 8-Bit Arcade, Various Artists"
2922,Lake of Fire,Meat Puppets,1984,1.94955,R.E.M.
2923,Downtown,Petula Clark,2003,3.129333333,"Chubby Checker, No Doubt, Eagle-Eye Cherry, Eve 6, Oleander"
2924,Reel Around the Fountain - 2011 Remaster,The Smiths,1984,5.9871,Stevie Ray Vaughan
2925,An End Has a Start,Editors,2007,3.758883333,"Nickelback, Metric, We Are The Fallen, Alkaline Trio, Evanescence"
2926,Fire Brigade,The Move,1968,2.415333333,"Bruce Springsteen, The Who, Hawkwind, Nazareth"
2927,The Bogus Man,Roxy Music,1973,9.34555,"Southside Johnny And The Asbury Jukes, The Rolling Stones, Electric Light Orchestra"
2928,Hotter Than Hell,KISS,1974,3.53,"Aerosmith, Joni Mitchell"
2929,Genius of Love,Tom Tom Club,1981,5.572666667,"Thin Lizzy, The Jesus and Mary Chain, Journey, Tina Turner, Dire Straits"
2930,Sister Ray,The Velvet Underground,1968,17.502,The Who
2931,Crimson & Clover - Single Version,Tommy James & The Shondells,2002,3.477766667,Silverchair
2932,Procession,Various Artists,2020,4.50155,Joan Jett & The Blackhearts
2933,Mary,Scissor Sisters,2004,4.668883333,"Ian Brown, Lambchop"
2934,Wolves,Big Wreck,2012,4.228883333,
2935,Oh Sherrie,Steve Perry,1984,3.822433333,"Billy Joel, Genesis, Queen, Patti LaBelle"
2936,Sleeping Sickness,City and Colour,2007,4.133333333,"Big Joe Turner, Foo Fighters, Jet, The Dandy Warhols, of Montreal"
2937,Give It Up,Various Artists,2020,5.287766667,"The Karaoke Channel, Ian Thomas, Party Tyme Karaoke, Pop Music Workshop"
2938,Between The Bars,Elliott Smith,1997,2.354666667,"Ry Cooder, Joni Mitchell, Nick Cave & The Bad Seeds, Gary Jules"
2939,Something Vague,Various Artists,2003,3.503333333,"Wilco, Okkervil River, Meat Loaf"
2940,White Light/White Heat,The Velvet Underground,1968,2.794216667,
2941,The One,Elton John,1992,5.886,"George Harrison, Stevie Ray Vaughan, Patti Smith"
2942,Them Bones,Alice In Chains,1992,2.4911,"Bon Jovi, Midnight Oil, George Harrison, Pulp, Guano Apes"
2943,Holiday from Real - 2015 Remastered,Jack's Mannequin,2005,2.974666667,Pat Benatar
2944,Cavern,Liquid Liquid,1997,5.329333333,
2945,Bottoms Up,Nickelback,2011,3.623766667,"Chevelle, Anberlin, Ozzy Osbourne, Arctic Monkeys"
2946,Back Stabbers,The O'Jays,1972,3.10155,AC/DC
2947,Face To Face,Ruel,2019,3.395766667,
2948,The Four Horsemen,Aphrodite's Child,1971,5.890433333,"Small Faces, Black Sabbath, Gram Parsons, The Beatles"
2949,Butterfly On A Wheel,The Mission,1990,5.68,"The Swinging Blue Jeans, Bon Jovi, Talking Heads"
2950,Can't Stand Losing You,Sting,1997,3.01155,"Ash, Hello, ZZ Top, G. Love & Special Sauce, the feelers"
2951,(Amphetamine) Logic,Various Artists,2000,4.965333333,"Enuff Z'Nuff, 6gig, blink-182, Foo Fighters, The Jayhawks"
2952,Headache,Frank Black,1994,2.876,"Aerosmith, Babyface, Nada Surf, Sepultura, Pearl Jam"
2953,Take Control,Weezer,2002,3.076216667,"Delta Goodrem, Keane, The White Stripes"
2954,4th Time Around,Various Artists,2012,4.376,"8-Bit Arcade, B the Star, Max Webster"
2955,Streets of Your Town - Remastered,The Go-Betweens,2020,3.663083333,
2956,It Ain't No Use,Stevie Wonder,1974,4.0171,
2957,Without You,Harry Nilsson,1971,3.35,"Neil Young, Bob Dylan, Crosby, Stills, Nash & Young, Otis Redding, Van Morrison"
2958,The End Of The Innocence,Don Henley,1989,5.2551,"The Animals, Nena, Mike & The Mechanics"
2959,"It's All over Now, Baby Blue",Bob Dylan,1965,4.2011,"Willie Nelson, Bee Gees, Otis Redding, Roy Orbison, The Beatles"
2960,Catch My Breath,Kelly Clarkson,2012,4.191766667,"Nickelback, Parkway Drive, Ozzy Osbourne"
2961,You're a Wolf,Sea Wolf,2007,3.592666667,
2962,Village Green - Stereo Mix,The Kinks,2008,2.119333333,"Various Artists, Hunters & Collectors, Pat Benatar, Switchfoot"
2963,Apache,The Shadows,1987,2.9031,"Nena, Various Artists, John Hiatt"
2964,White Bird,Various Artists,1972,9.013333333,Jethro Tull
2965,Divorce Song (Remastered),Liz Phair,1993,3.334883333,"Mercury Rev, The Orb, Camper Van Beethoven"
2966,I Hear You Calling,Gob,2001,3.187766667,"AC/DC, Sum 41, Sleater-Kinney, Various Artists, Billy Talent"
2967,Crockett's Theme,Jan Hammer,2018,3.6,"King Gizzard & The Lizard Wizard, Various Artists, The Clash"
2968,Little Angel,Various Artists,2019,2.634433333,
2969,Don't Know What You Got (Till It's Gone),Cinderella,1988,5.910666667,"The Animals, The Dream Academy"
2970,Knock on Wood,Eddie Floyd,1967,3.164,"The Hollies, David Bowie, Barry McGuire, Bee Gees"
2971,Don't Break My Heart Again - 2011 Remaster,Whitesnake,1981,4.063333333,"Genesis, The Clash"
2972,Suds & Soda,dEUS,1994,5.236666667,"Cherry Poppin' Daddies, Stereolab, Supergroove, Fuel, The Nixons"
2973,Kiss Them For Me,Siouxsie and the Banshees,1991,4.6191,"Toad The Wet Sprocket, Ocean Colour Scene, Bruce Springsteen"
2974,This Afternoon,Nickelback,2008,4.558216667,
2975,New Noise,Refused,1998,5.212,"The Postal Service, The Beatles, Godsmack, The Smashing Pumpkins, Skunk Anansie"
2976,Ask the Angels,Patti Smith,1976,3.162216667,"The Rolling Stones, Hawkwind, Streetheart, Queen"
2977,Brick by Boring Brick,Paramore,2009,4.232433333,"Lamb of God, Foster The People, My Chemical Romance, The Killers"
2978,Communicate,the feelers,2008,2.989333333,"Mew, Various Artists"
2979,A Better Place,Army of Anyone,2006,4.98,
2980,Honestly,Stryper,1986,4.126666667,"Split Enz, Imperiet, Santana"
2981,Scarborough Fair / Canticle,Simon & Garfunkel,1966,3.172433333,
2982,The Man Don't Give a Fuck - 2016 - Remaster,Super Furry Animals,1996,4.889766667,"Sepultura, Injected, H-Blockx, The Smashing Pumpkins, The New Pornographers"
2983,Cruiser's Creek,The Fall,1985,4.29555,
2984,Do Ya,Electric Light Orchestra,1976,3.751766667,
2985,Remember Everything,Five Finger Death Punch,2011,4.646883333,"The Fratellis, 13th Floor Elevators"
2986,The Best - Edit,Tina Turner,2004,4.226533333,Live
2987,Gossip Diet,Lotus Child,2006,3.715333333,
2988,Andy's Chest,Lou Reed,1972,3.308666667,"Big Brother & The Holding Company, Aerosmith, The Beach Boys, Joni Mitchell, Loggins & Messina"
2989,Hang On Sloopy,The McCoys,1995,3.863333333,Foo Fighters
2990,Discipline,Nine Inch Nails,2008,4.319716667,"Billy Talent, Linkin Park"
2991,She's Gone,STEELHEART,1991,6.526,
2992,Just the Way You Are,Billy Joel,1977,4.842883333,"Bad Company, Heart, Pink Floyd, Pink Floyd"
2993,Make Up,Lou Reed,1972,2.982216667,"Bee Gees, Joni Mitchell, Fairport Convention, Crosby, Stills & Nash, Gram Parsons"
2994,Day Eleven: Love,Ayreon,2004,4.301316667,
2995,Overjoyed,Stevie Wonder,1985,3.709766667,"Sheriff, Australian Crawl"
2996,Industrial Disease,Dire Straits,1982,5.83955,"Blondie, Iron Maiden"
2997,Absolutely Sweet Marie,Bob Dylan,1966,4.903333333,"Allman Brothers Band, Traffic, Procol Harum, Free, Grateful Dead"
2998,Surrender,Billy Talent,2006,4.11,"Disturbed, AFI, John Lennon"
2999,Raised on Rock,Scorpions,2010,3.978666667,"Black Light Burns, ICEHOUSE, British Sea Power"
3000,Femme Fatale,The Velvet Underground,1967,2.65,
3001,On Broadway (Single Version),The Drifters,2018,2.99155,"City Boy, Players Since Creation, Guano Apes"
3002,Out Of The Blue (Into The Fire),The The,1986,5.127766667,
3003,A Design for Life - Remastered,Manic Street Preachers,1996,4.294,"Various Artists, Metallica, Stone Temple Pilots, Switchfoot"
3004,Walking with a Ghost,Tegan and Sara,2004,2.504883333,Amy Winehouse
3005,Can't Change Me,Chris Cornell,1999,3.374,Our Lady Peace
3006,Sunday Girl - Remastered,Blondie,1978,3.092666667,Chuck Berry
3007,Stars,Grace Potter & The Nocturnals,2012,3.598883333,"Doucette, Local H, Foo Fighters"
3008,I'll Be Your Baby Tonight,Bob Dylan,1967,2.656,"King Crimson, Roy Orbison"
3009,Leader of the Band,Dan Fogelberg,1979,4.273316667,"Neil Diamond, Fleetwood Mac, Queen"
3010,Sherry,Frankie Valli & The Four Seasons,1962,2.536,
3011,Saturday in the Park - 2002 Remaster,Chicago,1972,3.927766667,"Marvin Gaye, Todd Rundgren"
3012,White Shadows,Coldplay,2005,5.470316667,Pearl Jam
3013,Gods Of War,Def Leppard,1987,6.630216667,"Mr. Big, The Cure, New Order, Metallica"
3014,Stay,Various Artists,1987,1.581766667,Living Colour
3015,Drain You,Nirvana,1991,3.731333333,"Traveling Wilburys, Social Distortion, Melissa Etheridge, R.E.M."
3016,I Ain't Gonna Stand For It,Stevie Wonder,1980,4.6494,"Genesis, Heart, Brian Eno"
3017,Isn't It Time,The Babys,1977,4.065333333,
3018,Major Tom - Coming Home,Peter Schilling,1989,5.022883333,"The Shadows, Tom Petty"
3019,The Engine Driver,The Decemberists,2005,4.253333333,"Opshop, American Hi-Fi, Various Artists"
3020,The Crow & the Butterfly,Shinedown,2008,4.226666667,
3021,Amie - Remastered 1988,Pure Prairie League,1972,4.323766667,"The Stylistics, Crosby, Stills, Nash & Young, David Bowie, Supertramp, Ace"
3022,Goin' Down on It,Hot Action Cop,2003,4.844433333,"Daughtry, 3 Doors Down, Billy Talent, Billy Talent, Bush"
3023,My Cherie Amour,Stevie Wonder,1969,2.888433333,"Them, The Youngbloods, The Beatles, Sly & The Family Stone, George Harrison"
3024,"Bad, Bad Leroy Brown",Jim Croce,1973,3.037333333,"Three Dog Night, Journey, David Bowie, Eagles"
3025,Bankrobber,The Clash,2013,4.5671,"The Sheepdogs, Vampire Weekend, Bruce Springsteen, King Gizzard & The Lizard Wizard"
3026,Always Gonna Love You,Gary Moore,1994,3.910666667,"KISS, Built To Spill, Primal Scream"
3027,Another Radio Song,Okkervil River,2005,4.998216667,Various Artists
3028,Lord of the Flies - 2015 Remaster,Iron Maiden,1995,5.060433333,"No Doubt, Elwood, Pretenders, Frank Black"
3029,Dancing Tight - Extended Version,Phil Fearon,2005,4.41555,"Johnny Burnette & The Rock 'N' Roll Trio, Black Rebel Motorcycle Club, Ty Segall, The Feeling"
3030,Here Comes the Rain Again - Remastered Version,Eurythmics,1983,4.909766667,Beastie Boys
3031,Lie,Black Light Burns,2007,4.318216667,"Idlewild, Disturbed, Finger Eleven"
3032,Set Fire to the Rain,Adele,2011,4.028216667,"Mumford & Sons, Green Day"
3033,Kick It Out,Heart,1977,2.757766667,"Wings, Ebba Grön, Southside Johnny And The Asbury Jukes"
3034,Temptation,The Tea Party,1997,3.41955,"Hundred Reasons, The Vines, the feelers, Spoon, Saliva"
3035,Out of Time,Blur,2003,3.88955,"The Smashing Pumpkins, Incubus, The Strokes"
3036,Army Dreamers,Kate Bush,1980,2.977333333,
3037,Nobody Knows,Lillian Axe,1988,4.326883333,"Various Artists, Soul Asylum, April Wine, The Police"
3038,Pull The Plug,Starz,1976,4.71755,"Soft Cell, Van Halen, CHIC, Buffalo"
3039,Cursed Sleep,"Bonnie ""Prince"" Billy",2006,5.598433333,"Elbow, Thunder, Sufjan Stevens, Clyde McPhatter"
3040,I Just Want to Make Love to You - 2016 Remaster,Foghat,1972,4.346883333,Roxy Music
3041,The Way You Move,Since October,2010,3.556216667,"Slayer, Jack's Mannequin"
3042,Bron-Y-Aur Stomp - Remaster,Led Zeppelin,1970,4.2891,"Jim Croce, The Doobie Brothers, Lou Reed, Humble Pie, The Byrds"
3043,Love To Love You Baby,Donna Summer,1975,16.80888333,"Steve Miller Band, David Bowie, Heart"
3044,Not When I Need It,Matthew Sweet,1995,3.462,"Primal Scream, Brigitte Bardot, Petula Clark"
3045,Needles and Pins - Mono,The Searchers,1964,2.189333333,Jimi Hendrix
3046,All Torn Down,The Living End,1999,4.1111,"Goldfinger, The Hellacopters, Sevendust, The White Stripes"
3047,Since You're Gone - Live,The Cars,2020,4.029516667,
3048,Car,Built To Spill,1994,2.9851,D-A-D
3049,Bridge To Nowhere,Sam Roberts Band,2006,3.150883333,"Various Artists, Nonpoint, Elbow, Minus the Bear, Johnny Burnette & The Rock 'N' Roll Trio"
3050,The Man Who Sold the World - 2015 Remaster,David Bowie,1970,4.022433333,"The Mamas & The Papas, Eric Carmen, The Rolling Stones, The Supremes"
3051,Unglued - 2019 Remaster,Stone Temple Pilots,1994,2.571766667,"Nightwish, Social Distortion, Various Artists, Filter"
3052,The Look,Roxette,1988,3.955333333,"Talking Heads, Mekons, Van Halen, Kim Mitchell, Jimmy Barnes"
3053,Running Free - 2015 Remaster,Iron Maiden,1980,3.292883333,"AC/DC, The Cars"
3054,Authority Song,John Mellencamp,1983,3.820666667,
3055,Alright,Tadpole,2000,3.622216667,
3056,Save Me - Remastered 2011,Queen,1980,3.832,"Soft Cell, Led Zeppelin"
3057,Don't Go Breaking My Heart - Elton John and Kiki Dee,Players Since Creation,2014,4.446883333,"Max Webster, Frank Zappa, Brian McKnight, Elvis Presley"
3058,One Thing Leads To Another,The Fixx,1983,3.330433333,"Dire Straits, Dead Kennedys, The Smiths, AC/DC, Elvis Costello & The Attractions"
3059,Right Next Door To Hell,Guns N' Roses,1991,3.03555,
3060,Dog Eat Dog - Remastered,Adam & The Ants,2016,3.169766667,"Amyl and The Sniffers, Keith Richards, My Morning Jacket, Metallica"
3061,Breakdown,Seether,2007,3.487766667,"Five Finger Death Punch, Alkaline Trio, Oasis, Coldplay"
3062,I Talk To The Wind,King Crimson,1969,6.094316667,"Grateful Dead, Van Morrison, Eagles, Crosby, Stills & Nash, The Stylistics"
3063,Morning Has Broken,Yusuf / Cat Stevens,1971,3.333333333,"Carpenters, Neil Young"
3064,Burning Love,Elvis Presley,1973,2.838216667,"Bruce Springsteen, Bob Seger, Steve Harley, Rush, Parliament"
3065,88 Lines about 44 Women,The Nails,1984,4.944,"Honeymoon Suite, D-A-D"
3066,Baby Come Back,Groove Armada,2012,3.572883333,
3067,5 Days in May - Remastered 2012 version,Blue Rodeo,1993,7.234216667,Don Henley
3068,Wooly Bully,Various Artists,1987,2.347766667,
3069,Headache for Michelle,Au Pairs,2006,6.88355,"Various Artists, Giant Drag, Various Artists, Bonnie ""Prince"" Billy, Wilco"
3070,Do You Know What I Mean,Lee Michaels,1971,3.200366667,"Mott The Hoople, Led Zeppelin, George Harrison"
3071,The High Road,Broken Bells,2010,3.87,"The Chicks, Van Morrison, Poets of the Fall"
3072,Hold On Loosely,38 Special,1980,4.677266667,"Chicago, Fleetwood Mac"
3073,It's All Over Now - Mono Version,The Rolling Stones,1964,3.440666667,"Chuck Berry, The Kinks, The Who, The Troggs, Deep Purple"
3074,If I Get Lucky,Little River Band,1990,4.246666667,"The Tragically Hip, Baby Animals, The Tragically Hip, The Exponents, Suede"
3075,No Aphrodisiac,The Whitlams,1998,4.324883333,
3076,I Don't Know Where I Stand,Joni Mitchell,1969,3.223333333,
3077,See My Baby Jive - 2006 Remaster,Wizzard,1973,5.038883333,
3078,Rag Doll,Frankie Valli & The Four Seasons,2003,3.026,The Chiffons
3079,Lifeline,Papa Roach,2009,4.292433333,"M.I.A., Van Halen, Redlight King, Poison, Ty Segall"
3080,Lazy,Luger Boa,2010,3.3811,
3081,Quietly,Guano Apes,2003,3.631766667,"Our Lady Peace, Methods of Mayhem, Funeral For A Friend, The Stills, Jefferson Airplane"
3082,Battery,Metallica,1986,5.206,"Echo & the Bunnymen, The Replacements, Tears For Fears, John Mellencamp"
3083,Memphis,Johnny Rivers,1998,2.628883333,"Beck, The Guess Who, Grandaddy, Olivia Newton-John"
3084,Sweet Lui-Louise,Various Artists,1999,3.24955,KISS
3085,I'll Be Your Baby Tonight - Originally Performed By Robert Palmer and UB40,Reggae Karaoke Lions,2012,3.375516667,"Primal Scream, Calling All Cars"
3086,The '59 Sound,The Gaslight Anthem,2009,3.166433333,
3087,Moonlight Mile - 2009 Mix,The Rolling Stones,1971,5.953333333,
3088,Stereotype,The Specials,2000,3.875333333,"The Polyphonic Spree, Black Rebel Motorcycle Club, Lake Of Tears, Ben Folds Five, Phil Fearon"
3089,It's The Same Old Song,Four Tops,1965,2.773333333,"Status Quo, Led Zeppelin"
3090,I'm Gonna Be (500 Miles),The Proclaimers,2003,3.657766667,"My Chemical Romance, The Strokes, Kelly Clarkson, Cream, UB40"
3091,Newborn,Elbow,2001,7.6,"The White Stripes, The Specials, The Decemberists, Modest Mouse, Elliott Smith"
3092,Feel Your Love Tonight - 2015 Remaster,Van Halen,1978,3.682666667,
3093,Ugly,The Exies,2004,3.306,Lit
3094,White Trash,Steriogram,2004,3.7411,
3095,Beat the Bastards,The Exploited,1996,4.3511,
3096,Hello,Lionel Richie,1983,4.11555,Styx
3097,Brand New Hate,Backyard Babies,2001,2.988216667,"Jimmy Barnes, Old 97's"
3098,California Uber Alles,Dead Kennedys,1987,3.450666667,"Social Distortion, Mötley Crüe, Autograph, Metallica, The Cure"
3099,Wild Wood,Paul Weller,1993,3.3711,"Nine Inch Nails, Cowboy Junkies, Fairground Attraction, Extreme, Guitar Slim"
3100,No Secrets,The Angels,1980,4.2991,"Rick James, Joy Division, Steve Miller Band"
3101,Govinda,Kula Shaker,1996,4.94585,
3102,Wake Me Up Before You Go-Go,Wham!,1984,3.85555,"Bronski Beat, Fleetwood Mac, Various Artists"
3103,"Walk, Don't Run - Stereo",The Ventures,1960,2.048883333,
3104,Mystify,INXS,1987,3.2931,"Billy Idol, Traveling Wilburys, Ram Jam, Yothu Yindi"
3105,Clumsy,Our Lady Peace,1997,4.466,
3106,Smooth Operator - Single Version,Sade,1994,4.31155,U2
3107,Feelin',The La's,1990,1.7451,"Poison, Liz Phair, Judas Priest, Tom Cochrane"
3108,These Arms of Mine,Otis Redding,1964,2.57555,"The Beatles, Love, The Beatles, Big Brother & The Holding Company, Bobbie Gentry"
3109,Don't Let Me Down - Remastered 2009,The Beatles,1973,3.59555,"Pure Prairie League, John Denver, Joe Walsh, Crosby, Stills, Nash & Young, Pink Floyd"
3110,Forever Now - 2011 Remastered,Cold Chisel,1982,4.467966667,"Metallica, Dio, Genesis, John Mellencamp, Mötley Crüe"
3111,Heart Attack and Vine - Remastered,Screamin' Jay Hawkins,2018,4.45755,"Billy Bragg, Jota Quest, Keiynan Lonsdale, Various Artists"
3112,Hit the Ground,6gig,2000,3.0623,"the feelers, 54-40"
3113,Do You Love Me,The Contours,2012,2.90325,"KC & The Sunshine Band, Death Cab for Cutie, Dave Dobbyn, Foo Fighters"
3114,Pick Up the Pieces,Average White Band,1974,3.998466667,
3115,Tribute,Tenacious D,2001,4.134216667,
3116,Colour My World,Chicago,1975,3.027333333,"Minutemen, Steely Dan, Heart, The Guess Who"
3117,Verse Chorus Verse - Boombox Rehearsals,Nirvana,1991,3.20555,"Whitesnake, H-Blockx, Various Artists"
3118,Live With Me,The Rolling Stones,1969,3.552216667,"Santana, The Velvet Underground, Jethro Tull, Procol Harum, New York Dolls"
3119,Mr. Speed,KISS,1976,3.308216667,
3120,Dakota,Stereophonics,2005,4.9571,Switchfoot
3121,Fantasy - Single Version,"Earth, Wind & Fire",1978,3.770216667,Kansas
3122,"Please, Please, Please, Let Me Get What I Want",Various Artists,2020,1.878433333,"8-Bit Arcade, The Karaoke Channel, Fairport Convention, Ian Thomas"
3123,Get Behind The Mule,Tom Waits,1999,6.874216667,"Leonardo's Bride, The Shins, Olivia Newton-John, The Tragically Hip"
3124,Pearl Necklace,ZZ Top,1981,4.080433333,
3125,Groovin',The Young Rascals,1967,2.521483333,"The Beatles, Yes, Led Zeppelin"
3126,It's Only Natural,Crowded House,1991,3.53955,Prince
3127,Wasted Time,Skid Row,1991,5.813333333,"Hüsker Dü, The Cure, Stone Temple Pilots"
3128,Crazy,Various Artists,2020,5.278216667,"Max Webster, Budgie"
3129,Trippin,Push Push,2014,4.025666667,
3130,Along Comes Mary,The Association,1966,2.85,
3131,Mexican Radio,Wall Of Voodoo,1982,4.147766667,Scandal
3132,Thank You,Dido,1999,3.630433333,"Coldplay, Filter"
3133,Stand!,Sly & The Family Stone,1969,3.12555,
3134,Girls of Summer,Aerosmith,2002,3.219333333,The Black Keys
3135,The Truth,Clawfinger,1993,4.2111,"Talking Heads, Judas Priest, Oasis, Jimmy Barnes, Supergroove"
3136,Sweat It Out,Jimmy Barnes,2006,3.963333333,"Tracer, Manic Street Preachers, Shihad, Zodiac Mindwarp & The Love Reaction"
3137,Polyamorous,Breaking Benjamin,2002,2.9491,
3138,My December,Various Artists,2020,4.342666667,"Joan Jett & The Blackhearts, Earth Tongue"
3139,Friday On My Mind,Gary Moore,1987,4.193333333,The Cure
3140,Luka,Suzanne Vega,1987,3.84955,"Def Leppard, The Dead Milkmen"
3141,To Love Somebody,Bee Gees,1967,3.033333333,"The Beatles, Joe Cocker, Van Morrison, David Bowie, The Doors"
3142,Black,Sevendust,1997,4.148433333,"Foo Fighters, Social Distortion, Korn"
3143,Legend Of A Mind,The Moody Blues,1968,6.610216667,"The Beatles, The Rolling Stones, The Doors"
3144,Respect - Mono; 2008 Remaster,Otis Redding,1965,2.1831,"Jimi Hendrix, Led Zeppelin"
3145,Chinese Burn - Lunatic Calm Mix,Various Artists,2006,7.428433333,
3146,Once Around The Block,Badly Drawn Boy,1999,4.080433333,"Travis, Rilo Kiley, The Postal Service, Wilco"
3147,Party at Ground Zero,Fishbone,1985,6.5011,"Saxon, Blue Rodeo, Bruce Springsteen"
3148,Moby Dick - Intro / Outro Rough Mix,Led Zeppelin,1969,1.63955,"The Byrds, The Beatles, Smokey Robinson & The Miracles, Creedence Clearwater Revival, Joe Cocker"
3149,Sun Hits The Sky,Supergrass,1997,4.85615,"Green Day, Kula Shaker"
3150,Burn,Various Artists,1994,6.648883333,"AC/DC, Kool & The Gang, Static-X, The Rolling Stones"
3151,Oh Yeah,Ash,1996,4.757766667,"Kula Shaker, The B-52's"
3152,Four Sticks - Remaster,Led Zeppelin,1971,4.753783333,The Rolling Stones
3153,Scar,Missy Higgins,2004,3.5691,"Daughtry, Elemeno P, The White Stripes, Airbourne, The Black Keys"
3154,Screamager,Therapy?,1994,2.6151,
3155,Waiting For An Alibi,Thin Lizzy,1979,3.477333333,"Ebba Grön, R.E.M., Adolescents, Queen, David Lindley"
3156,Devil on My Shoulder,Billy Talent,2009,3.82555,Ozzy Osbourne
3157,Kitty's Back,Bruce Springsteen,1973,7.082883333,
3158,You Make Me Feel Brand New,The Stylistics,1973,4.807333333,"Stevie Wonder, Pink Floyd"
3159,Back In My Arms Again,The Supremes,1965,2.9051,"Smokey Robinson & The Miracles, The Doors"
3160,Department of Youth,Alice Cooper,1975,3.28,"Blue Öyster Cult, The Stranglers, Bruce Springsteen"
3161,Waiting In Vain,Bob Marley & The Wailers,1977,4.270666667,Neil Young
3162,Pretzel Logic,Steely Dan,1974,4.508883333,"Fleetwood Mac, Genesis, Bob Seger"
3163,Ava Adore,The Smashing Pumpkins,2001,4.35555,LEN
3164,Women - Remastered 2017,Def Leppard,1987,5.7085,The Smiths
3165,Walkie Talkie Man,Steriogram,2004,2.223333333,
3166,Heroin Girl,Everclear,1995,2.39,Social Distortion
3167,Build Me Up Buttercup,The Foundations,1968,2.958883333,"Billy Joel, Stevie Wonder, Free"
3168,Replica,Fear Factory,1995,3.956,"Guns N' Roses, Bad Religion, Social Distortion, The Black Crowes, Green Day"
3169,Twistin' the Night Away,Sam Cooke,1962,2.664216667,"Chuck Berry, The Beach Boys, The Beatles, The Doors"
3170,"It's All Over Now, Baby Blue (feat. Van Morrison)",Them,1966,3.790666667,"Neil Young, The Beatles, Santana, The Beatles"
3171,Shut Up!,Simple Plan,2004,3.049766667,"Breaking Benjamin, Alkaline Trio, Chimaira"
3172,Rock N Roll Duty - Live,Kim Mitchell,1990,4.287766667,"Todd Rundgren, Oasis, Jimmy Barnes, Mekons"
3173,Don't Talk To Strangers,Dio,1983,4.85155,Night Ranger
