index,name,artist,release_date,length,popularity,featured_artists
2779,Any Day Now,The Watchmen,1998,4.6851,32,Staind
2780,I Want You,Elvis Costello & The Attractions,1986,6.688216667,52,"John Farnham, Fairground Attraction, U2, Cowboy Junkies"
2781,Army of Me,Björk,1995,3.90555,51,Soul Asylum
2782,Melting Pot,Booker T. & the M.G.'s,1983,8.246666667,44,"Various Artists, Ultravox"
2783,Anna Sun,WALK THE MOON,2012,5.354666667,65,"Paramore, Billy Idol, R.E.M., The Airborne Toxic Event"
2784,Palisades Park,Freddy Cannon,2008,1.886883333,37,
2785,The Race Is On Again,Yo La Tengo,2006,4.612216667,18,"Tim Finn, Bic Runga, Dave Dobbyn, Phil Fearon, April Wine"
2786,Have It All,Foo Fighters,2002,4.966666667,42,The Smashing Pumpkins
2787,A Touch of Evil,Judas Priest,1990,5.74,48,"Letters To Cleo, Beastie Boys, Depeche Mode"
2788,So What,P!nk,2008,3.586,76,"Thirty Seconds To Mars, The Goo Goo Dolls, The Temper Trap"
2789,How Good It Can Get,The Wallflowers,2009,4.232216667,22,"Black Rebel Motorcycle Club, Spose, April Wine"
2790,Love Me Do - Remastered 2009,The Beatles,1963,2.36155,68,
2791,Always Crashing in the Same Car - 2017 Remaster,David Bowie,2017,3.5911,40,Elvis Presley
2792,To Be Alive,Def Leppard,1999,3.878283333,34,"Hello Sailor, Ben Harper And The Innocent Criminals, The White Stripes, Foo Fighters"
2793,I'm No Angel,The Gregg Allman Band,1986,3.714883333,51,"The Cars, Traveling Wilburys, Beastie Boys, World Party, It's Immaterial"
2794,The Importance of Being Idle,Oasis,2005,3.663766667,47,"Starsailor, Pat Benatar, Radiohead, M.I.A."
2795,Everything Changes,Matthew Sweet,1995,3.818883333,13,"Supergrass, Billy Thorpe & The Aztecs, Primal Scream"
2796,No Reason,Sum 41,2004,3.0811,56,"Foo Fighters, Various Artists, Muse, The Strokes, Iron Maiden"
2797,So. Central Rain,R.E.M.,1984,3.246883333,38,Tom Petty and the Heartbreakers
2798,Stripsearch,Faith No More,1997,4.498216667,45,
2799,Come To My Window,Melissa Etheridge,1993,3.933333333,55,"Nine Inch Nails, The Church, TOOL"
2800,Land of Confusion - 2007 Remaster,Genesis,1986,4.780666667,57,Nirvana
2801,Adolescents,Incubus,2011,4.814,48,"Gary Moore, Sponge, The Clash"
2802,Lowlife,Theory of a Deadman,2011,3.4271,53,Three Days Grace
2803,Sit Down,James,1990,4.0811,63,"Queen, Jon Bon Jovi, Bon Jovi, Nine Inch Nails, Portishead"
2804,Run-Away,Super Furry Animals,2007,2.923766667,18,"Huey ""Piano"" Smith, Golpe a Golpe"
2805,Like Days,theStart,2004,3.98755,11,
2806,Sing - 2012 Remaster,Blur,1991,6.016216667,45,"Liz Phair, Soul Coughing, INXS, Tracy Bonham, ZZ Top"
2807,Words,Bee Gees,1968,3.30755,61,"Neil Young, Steely Dan, Neil Young, The Stylistics"
2808,Salvation,Black Rebel Motorcycle Club,2001,6.116883333,26,"The Wrens, The Watchmen, The White Stripes, Daddy Cool, The White Stripes"
2809,The Last In Line,Dio,1984,5.71955,55,"Frank Zappa, John Mellencamp, Billy Idol"
2810,Get Out The Door,Velvet Revolver,2007,3.240666667,37,"Darkest Hour, Staind"
2811,(Let's Go) Smoke Some Pot,Dash Rip Rock,2000,2.269766667,36,Cro-Mags
2812,Molly's Chambers,Kings of Leon,2003,2.248433333,62,
2813,Pandemonium - Cybersank Edit,Killing Joke,2013,3.273333333,12,"The Fratellis, the feelers, Chris Domingo, The Darkness"
2814,Ready an' Willing - 2011 Remaster,Whitesnake,1980,3.7371,27,"Madness, Ramones, Frank Zappa, Ramones, Pretenders"
2815,Atomic,Sleeper,2016,5.164883333,47,"Lynyrd Skynyrd, King Gizzard & The Lizard Wizard, Big Wreck, Incubus"
2816,Tough Girl,Open Hand,2005,2.905766667,15,"Midnight Youth, Powderfinger"
2817,We Are The People,Empire of the Sun,2009,4.4559,60,
2818,Samba Pa Ti,Santana,1970,4.746666667,63,Van Morrison
2819,Halleluhwah - 2011 Remastered,CAN,1971,18.52665,25,"Hawkwind, The Kinks, The Move, Edgar Winter"
2820,Dosed,Red Hot Chili Peppers,2002,5.197766667,59,"The Beatles, Duran Duran, Tina Turner"
2821,Eighties - 2007 Digital Remaster,Killing Joke,1985,3.988,54,Real Life
2822,Birmingham,Amanda Marshall,1996,5.35555,20,Rustic Overtones
2823,Mountains - Acoustic,Various Artists,2020,3.80155,1,"Party Tyme Karaoke, Ian Thomas, Fairport Convention"
2824,Universal,Seigmen,1999,3.5711,12,"Super Furry Animals, The Jayhawks, Headless Chickens"
2825,The Gift,Seether,2005,5.569766667,50,"Wilco, T. Rex, Billy Idol"
2826,Hard Rock Hallelujah,Various Artists,2004,4.112433333,34,
2827,Pale Blue Eyes,The Velvet Underground,1969,5.658883333,69,"Joni Mitchell, Leonard Cohen, Don McLean, Simon & Garfunkel"
2828,Alienate Me,Coal Chamber,2002,3.290216667,34,The Datsuns
2829,Home,Edward Sharpe & The Magnetic Zeros,2009,5.105333333,72,"Korn, The Chicks, Franz Ferdinand"
2830,Big Love - 2017 Remaster,Fleetwood Mac,1987,3.728883333,62,"Talking Heads, Stevie Ray Vaughan, The Cure"
2831,Chillout Tent,The Hold Steady,2016,3.717333333,18,
2832,Change the World - Live on MTV Unplugged,Babyface,1997,7.543766667,34,
2833,"Get Me Away From Here, I'm Dying",Belle & Sebastian,1996,3.424883333,41,Various Artists
2834,Young Cardinals,Alexisonfire,2009,3.630433333,46,"Modest Mouse, Chevelle, Papa Roach, New Order"
2835,When The Sun Goes Down,Arctic Monkeys,2006,3.368883333,63,"Breaking Benjamin, Audioslave"
2836,The Way It Is,The Sheepdogs,2012,2.562216667,20,"Hello Sailor, My Morning Jacket, The Pack a.d., Head Like A Hole, Killing Joke"
2837,Placebo Effect,Siouxsie and the Banshees,1979,4.61955,23,"KISS, The Babys, Chilliwack, Minutemen"
2838,I Feel Like Going Home,Yo La Tengo,2006,4.236216667,27,"Joe Bonamassa, Rufus Wainwright"
2839,Anastasia,Slash,2012,6.121333333,48,"Deftones, King Gizzard & The Lizard Wizard, Various Artists, Godsmack"
2840,Exit Music (For a Film),Radiohead,1997,4.4531,68,"Bush, Stone Sour, Wilco, Portishead, R.E.M."
2841,Love Like Blood,Killing Joke,1992,4.424433333,55,"Fleetwood Mac, The Church, Prince, Jennifer Rush"
2842,"Andy, You're A Star",The Killers,2004,3.234666667,44,"Feist, Snow Patrol"
2843,Heavyweight,Our Lady Peace,2012,4.261433333,26,"Humble Pie, Villainy, Nonpoint, Black Rebel Motorcycle Club"
2844,You Make Loving Fun - 2004 Remaster,Fleetwood Mac,1977,3.610433333,64,"Grateful Dead, AC/DC, Patti Smith, Pink Floyd"
2845,The Tears Of A Clown,Smokey Robinson & The Miracles,1967,3.03,57,"Jr. Walker & The All Stars, The Everly Brothers, Jethro Tull, Faces, Bob Dylan"
2846,Kalifornia,The Subways,2008,2.906433333,24,"Sam Roberts Band, White Lies"
2847,Red Flag,Billy Talent,2006,3.302883333,70,"Carolina Liar, Sara Bareilles"
2848,Burnin' Sky - 2017 Remaster,Bad Company,1977,5.1811,41,
2849,Slow Cheetah,Red Hot Chili Peppers,2006,5.332216667,57,"Buddy Holly, Afroman, Ann Peebles"
2850,Goodbye Blue Sky,Pink Floyd,1979,2.787316667,60,"Linda Ronstadt, Kate Bush, Fleetwood Mac, Stevie Wonder, Dan Fogelberg"
2851,Never Again,Nickelback,2001,4.3471,56,"The Mutton Birds, Citizen King, Natalie Imbruglia"
2852,"Everything's Gone Green - 7"" Version; 2015 Remaster",New Order,2005,4.32155,39,"Puddle Of Mudd, Steriogram"
2853,The One I Love,David Gray,2005,3.498883333,51,"Everything, TV On The Radio"
2854,Misery,Green Day,2000,5.098433333,44,U2
2855,Year 3000,Busted,2004,3.266883333,44,Pat Benatar
2856,The Song Is Over,The Who,1971,6.276883333,41,"The Velvet Underground, Joe South, Bruce Springsteen, Steely Dan"
2857,You Can't Hurry Love,The Supremes,1966,2.798883333,73,"George Harrison, Creedence Clearwater Revival, Led Zeppelin, The Temptations, The Rolling Stones"
2858,Movin' on Up,Primal Scream,1991,3.804433333,63,"Pearl Jam, Def Leppard"
2859,Skyfall,Adele,2012,4.774666667,74,"The Black Keys, Paramore, Elvis Presley, Broken Bells"
2860,Have You Ever Really Loved A Woman?,Bryan Adams,1996,4.8611,69,"Train, Counting Crows"
2861,Shadowplay - 2007 Remaster,Joy Division,1979,3.895316667,59,
2862,Do Wah Diddy Diddy,Manfred Mann,1964,2.39,57,"Led Zeppelin, Bob Dylan"
2863,My Name Is Trouble,Nightmare Of You,2005,4.00955,25,"lostprophets, The Mighty Mighty Bosstones, Slayer, Alice In Chains"
2864,The Grand Illusion,Styx,1977,4.618883333,45,"Thin Lizzy, Squeeze, Lynyrd Skynyrd"
2865,Who's Crying Now,Journey,1981,5.002433333,59,"Eagles, Tom Petty and the Heartbreakers, Billy Squier, The Cars"
2866,Hanky Panky - Single Version,Tommy James & The Shondells,1966,2.873333333,45,
2867,Anchor Me,Various Artists,2020,4.500433333,17,
2868,Save a Prayer - Single Version,Duran Duran,1998,3.764,57,"Five For Fighting, No Doubt, The Whitlams, Sleep, Radiohead"
2869,Song to Say Goodbye,Placebo,2006,3.6031,58,My Morning Jacket
2870,Absolute Zero,Stone Sour,2012,3.830666667,68,"Daron Malakian and Scars On Broadway, Disturbed"
2871,The Things We Do For Love,10cc,1977,3.45955,64,"The Clash, David Bowie, The O'Jays, The Police, Bad Company"
2872,Touch Too Much,AC/DC,1979,4.437766667,63,"Aerosmith, Van Halen, Billy Joel"
2873,Tequila Sunrise - 2013 Remaster,Eagles,1973,2.884266667,63,"Bee Gees, The Stylistics, Supertramp, Roberta Flack, Dr. John"
2874,Rattlesnake,King Gizzard & The Lizard Wizard,2017,7.80155,41,"Elvis Presley, Various Artists"
2875,Rise Up,Cypress Hill,2010,3.844666667,44,
2876,Hammer To Fall - Remastered 2011,Queen,1991,3.638666667,64,
2877,Prove It,Television,1977,5.004,36,"Frankie Miller, Russell Morris"
2878,Interstellar Overdrive,Pink Floyd,1967,9.678583333,50,"Marvin Gaye, Blues Image, Foghat"
2879,Cream - N.P.G. Mix,Prince,2006,4.871766667,19,"Done Again, Berlin, the feelers, Sam Roberts Band"
2880,Scream,Ima Robot,2003,3.853766667,19,Super Furry Animals
2881,Digging the Grave,Faith No More,1995,3.063333333,44,"Fatboy Slim, T.S.O.L."
2882,Pull up the Roots - 2005 Remaster,Talking Heads,1983,5.164666667,42,"Paul Simon, Depeche Mode"
2883,Prophecy (With Sample),Soulfly,2004,3.597333333,44,"Finch, Weezer, Foo Fighters, 10 Years, Kings of Leon"
2884,Hero (In The Style Of Chad Kroeger & Josey Scott) [Performance Track with Demonstration Vocals],Done Again,2011,3.1703,6,Stingray Music (Karaoke)
2885,Submarine #3,Starlight Mints,2000,1.976,18,Brigitte Bardot
2886,"Fun, Fun, Fun (Mono)",The Beach Boys,1964,2.3151,51,"Bill Haley & His Comets, The Who, The Beatles, Jimi Hendrix, Creedence Clearwater Revival"
2887,Missing You,John Waite,1984,4.496,71,"The Charlie Daniels Band, Bryan Adams, TOTO, Bryan Adams, Kim Carnes"
2888,Waving Flags,British Sea Power,2008,4.126216667,34,"Opshop, The Tragically Hip"
2889,Soul Love - 2012 Remaster,David Bowie,1972,3.569966667,53,"Supertramp, Elvis Costello"
2890,Blue Bell Knoll,Cocteau Twins,1988,3.358433333,40,Rush
2891,Heaven in Your Eyes,Loverboy,1989,4.053766667,51,"Frankie Goes To Hollywood, Chicago, The Orb, Jimmy Buffett, The Animals"
2892,What'Cha Gonna Do About It,Small Faces,1966,1.954433333,32,"Deep Purple, The Kinks, Deep Purple, The Who, Derek & The Dominos"
2893,crushcrushcrush,Paramore,2007,3.156216667,63,"Madonna, The Chiffons"
2894,Vapour Trail - 2001 Remaster,Ride,1990,4.294433333,52,The Cure
2895,Baby's On Fire - 2004 Digital Remaster,Brian Eno,1973,5.322883333,43,"Santana, Van Halen"
2896,Hard Road,Sam Roberts Band,2003,4.112216667,24,"Opshop, The King Khan & BBQ Show"
2897,Double Shot (Of My Baby’s Love),The Swingin' Medallions,2020,2.357333333,23,"Max Webster, Max Webster, 311, The Rolling Stones"
2898,Eat The Rich,Various Artists,2020,4.183333333,4,Joan Jett & The Blackhearts
2899,It's Still Rock and Roll to Me,Billy Joel,1980,2.940666667,67,"Chicago, REO Speedwagon, The Band, Eurythmics"
2900,The Bitter End,Placebo,2003,3.176216667,64,The Killers
2901,Keep on Swinging,Rival Sons,2012,3.990216667,51,"Shannon and The Clams, King Gizzard & The Lizard Wizard"
2902,The Reflex - Single Version; 2010 Remaster,Duran Duran,1983,4.4571,56,"Depeche Mode, Michael Schenker Group"
2903,The Reasons,The Weakerthans,2003,2.84555,36,Treble Charger
2904,Nothing Remains,Chimaira,2005,5.60555,40,AFI
2905,A Really Good Time,Roxy Music,1974,3.764,25,"The Guess Who, The Byrds, Stevie Wonder, Eric Clapton, Santana"
2906,Miss Misery (Early Version),Elliott Smith,2007,2.937766667,42,
2907,She's Always a Woman,Billy Joel,1977,3.356216667,72,Pink Floyd
2908,Just the Two of Us (feat. Bill Withers),"Grover Washington, Jr.",1985,3.951766667,79,"TOTO, Bronski Beat, Scorpions"
2909,Firestarter,The Prodigy,1997,4.663333333,65,
2910,Rainy Monday - Bimbo Jones Vocal Mix,Chris Domingo,2009,8.451766667,2,
2911,"Yester-Me, Yester-You, Yesterday",Stevie Wonder,1969,3.088216667,53,"Cream, The Guess Who"
2912,When You Walk In the Room - Mono Version,The Searchers,1964,2.341333333,46,"The Kinks, Various Artists, The Rolling Stones"
2913,Sacrifice,Elton John,1989,5.068883333,73,"Prince, REO Speedwagon, Bryan Adams, Mike & The Mechanics"
2914,Rainbow Chaser,Nirvana,2018,2.639333333,25,"Elton John, Various Artists, Grandaddy, Elton John"
2915,Oh! You Pretty Things - 2015 Remaster,David Bowie,1971,3.2331,57,"Pink Floyd, Neil Young"
2916,Check,Rustic Overtones,1998,2.916216667,11,"Lake Of Tears, Super Furry Animals"
2917,Wires,Athlete,2005,4.3451,52,"GANGgajang, Staind, Ty Segall, Kasey Chambers"
2918,Quiet Life,Japan,1979,4.818,46,Sherbet
2919,Oh Love,Green Day,2012,5.054883333,57,"Sleeper, The Wombats, Shinedown, The Killers, Dr. Dog"
2920,Body Count's in the House,Body Count,1992,3.403333333,48,"The The, The Rolling Stones"
2921,Painted On My Heart - Originally Performed By The Cult,Midifine Systems,2014,4.038083333,12,"B the Star, Blur, 8-Bit Arcade, Various Artists"
2922,Lake of Fire,Meat Puppets,1984,1.94955,39,R.E.M.
2923,Downtown,Petula Clark,2003,3.129333333,58,"Chubby Checker, No Doubt, Eagle-Eye Cherry, Eve 6, Oleander"
2924,Reel Around the Fountain - 2011 Remaster,The Smiths,1984,5.9871,52,Stevie Ray Vaughan
2925,An End Has a Start,Editors,2007,3.758883333,54,"Nickelback, Metric, We Are The Fallen, Alkaline Trio, Evanescence"
2926,Fire Brigade,The Move,1968,2.415333333,31,"Bruce Springsteen, The Who, Hawkwind, Nazareth"
2927,The Bogus Man,Roxy Music,1973,9.34555,31,"Southside Johnny And The Asbury Jukes, The Rolling Stones, Electric Light Orchestra"
2928,Hotter Than Hell,KISS,1974,3.53,37,"Aerosmith, Joni Mitchell"
2929,Genius of Love,Tom Tom Club,1981,5.572666667,57,"Thin Lizzy, The Jesus and Mary Chain, Journey, Tina Turner, Dire Straits"
2930,Sister Ray,The Velvet Underground,1968,17.502,34,The Who
2931,Crimson & Clover - Single Version,Tommy James & The Shondells,2002,3.477766667,53,Silverchair
2932,Procession,Various Artists,2020,4.50155,7,Joan Jett & The Blackhearts
2933,Mary,Scissor Sisters,2004,4.668883333,38,"Ian Brown, Lambchop"
2934,Wolves,Big Wreck,2012,4.228883333,20,
2935,Oh Sherrie,Steve Perry,1984,3.822433333,64,"Billy Joel, Genesis, Queen, Patti LaBelle"
2936,Sleeping Sickness,City and Colour,2007,4.133333333,54,"Big Joe Turner, Foo Fighters, Jet, The Dandy Warhols, of Montreal"
2937,Give It Up,Various Artists,2020,5.287766667,1,"The Karaoke Channel, Ian Thomas, Party Tyme Karaoke, Pop Music Workshop"
2938,Between The Bars,Elliott Smith,1997,2.354666667,62,"Ry Cooder, Joni Mitchell, Nick Cave & The Bad Seeds, Gary Jules"
2939,Something Vague,Various Artists,2003,3.503333333,21,"Wilco, Okkervil River, Meat Loaf"
2940,White Light/White Heat,The Velvet Underground,1968,2.794216667,41,
2941,The One,Elton John,1992,5.886,53,"George Harrison, Stevie Ray Vaughan, Patti Smith"
2942,Them Bones,Alice In Chains,1992,2.4911,66,"Bon Jovi, Midnight Oil, George Harrison, Pulp, Guano Apes"
2943,Holiday from Real - 2015 Remastered,Jack's Mannequin,2005,2.974666667,40,Pat Benatar
2944,Cavern,Liquid Liquid,1997,5.329333333,44,
2945,Bottoms Up,Nickelback,2011,3.623766667,56,"Chevelle, Anberlin, Ozzy Osbourne, Arctic Monkeys"
2946,Back Stabbers,The O'Jays,1972,3.10155,55,AC/DC
2947,Face To Face,Ruel,2019,3.395766667,66,
2948,The Four Horsemen,Aphrodite's Child,1971,5.890433333,48,"Small Faces, Black Sabbath, Gram Parsons, The Beatles"
2949,Butterfly On A Wheel,The Mission,1990,5.68,46,"The Swinging Blue Jeans, Bon Jovi, Talking Heads"
2950,Can't Stand Losing You,Sting,1997,3.01155,45,"Ash, Hello, ZZ Top, G. Love & Special Sauce, the feelers"
2951,(Amphetamine) Logic,Various Artists,2000,4.965333333,3,"Enuff Z'Nuff, 6gig, blink-182, Foo Fighters, The Jayhawks"
2952,Headache,Frank Black,1994,2.876,44,"Aerosmith, Babyface, Nada Surf, Sepultura, Pearl Jam"
2953,Take Control,Weezer,2002,3.076216667,32,"Delta Goodrem, Keane, The White Stripes"
2954,4th Time Around,Various Artists,2012,4.376,10,"8-Bit Arcade, B the Star, Max Webster"
2955,Streets of Your Town - Remastered,The Go-Betweens,2020,3.663083333,44,
2956,It Ain't No Use,Stevie Wonder,1974,4.0171,31,
2957,Without You,Harry Nilsson,1971,3.35,66,"Neil Young, Bob Dylan, Crosby, Stills, Nash & Young, Otis Redding, Van Morrison"
2958,The End Of The Innocence,Don Henley,1989,5.2551,59,"The Animals, Nena, Mike & The Mechanics"
2959,"It's All over Now, Baby Blue",Bob Dylan,1965,4.2011,53,"Willie Nelson, Bee Gees, Otis Redding, Roy Orbison, The Beatles"
2960,Catch My Breath,Kelly Clarkson,2012,4.191766667,50,"Nickelback, Parkway Drive, Ozzy Osbourne"
2961,You're a Wolf,Sea Wolf,2007,3.592666667,50,
2962,Village Green - Stereo Mix,The Kinks,2008,2.119333333,38,"Various Artists, Hunters & Collectors, Pat Benatar, Switchfoot"
2963,Apache,The Shadows,1987,2.9031,59,"Nena, Various Artists, John Hiatt"
2964,White Bird,Various Artists,1972,9.013333333,41,Jethro Tull
2965,Divorce Song (Remastered),Liz Phair,1993,3.334883333,35,"Mercury Rev, The Orb, Camper Van Beethoven"
2966,I Hear You Calling,Gob,2001,3.187766667,48,"AC/DC, Sum 41, Sleater-Kinney, Various Artists, Billy Talent"
2967,Crockett's Theme,Jan Hammer,2018,3.6,47,"King Gizzard & The Lizard Wizard, Various Artists, The Clash"
2968,Little Angel,Various Artists,2019,2.634433333,5,
2969,Don't Know What You Got (Till It's Gone),Cinderella,1988,5.910666667,62,"The Animals, The Dream Academy"
2970,Knock on Wood,Eddie Floyd,1967,3.164,61,"The Hollies, David Bowie, Barry McGuire, Bee Gees"
2971,Don't Break My Heart Again - 2011 Remaster,Whitesnake,1981,4.063333333,38,"Genesis, The Clash"
2972,Suds & Soda,dEUS,1994,5.236666667,40,"Cherry Poppin' Daddies, Stereolab, Supergroove, Fuel, The Nixons"
2973,Kiss Them For Me,Siouxsie and the Banshees,1991,4.6191,50,"Toad The Wet Sprocket, Ocean Colour Scene, Bruce Springsteen"
2974,This Afternoon,Nickelback,2008,4.558216667,61,
2975,New Noise,Refused,1998,5.212,53,"The Postal Service, The Beatles, Godsmack, The Smashing Pumpkins, Skunk Anansie"
2976,Ask the Angels,Patti Smith,1976,3.162216667,33,"The Rolling Stones, Hawkwind, Streetheart, Queen"
2977,Brick by Boring Brick,Paramore,2009,4.232433333,63,"Lamb of God, Foster The People, My Chemical Romance, The Killers"
2978,Communicate,the feelers,2008,2.989333333,22,"Mew, Various Artists"
2979,A Better Place,Army of Anyone,2006,4.98,20,
2980,Honestly,Stryper,1986,4.126666667,42,"Split Enz, Imperiet, Santana"
2981,Scarborough Fair / Canticle,Simon & Garfunkel,1966,3.172433333,63,
2982,The Man Don't Give a Fuck - 2016 - Remaster,Super Furry Animals,1996,4.889766667,32,"Sepultura, Injected, H-Blockx, The Smashing Pumpkins, The New Pornographers"
2983,Cruiser's Creek,The Fall,1985,4.29555,23,
2984,Do Ya,Electric Light Orchestra,1976,3.751766667,56,
2985,Remember Everything,Five Finger Death Punch,2011,4.646883333,55,"The Fratellis, 13th Floor Elevators"
2986,The Best - Edit,Tina Turner,2004,4.226533333,64,Live
2987,Gossip Diet,Lotus Child,2006,3.715333333,5,
2988,Andy's Chest,Lou Reed,1972,3.308666667,43,"Big Brother & The Holding Company, Aerosmith, The Beach Boys, Joni Mitchell, Loggins & Messina"
2989,Hang On Sloopy,The McCoys,1995,3.863333333,56,Foo Fighters
2990,Discipline,Nine Inch Nails,2008,4.319716667,51,"Billy Talent, Linkin Park"
2991,She's Gone,STEELHEART,1991,6.526,49,
2992,Just the Way You Are,Billy Joel,1977,4.842883333,70,"Bad Company, Heart, Pink Floyd, Pink Floyd"
2993,Make Up,Lou Reed,1972,2.982216667,42,"Bee Gees, Joni Mitchell, Fairport Convention, Crosby, Stills & Nash, Gram Parsons"
2994,Day Eleven: Love,Ayreon,2004,4.301316667,31,
2995,Overjoyed,Stevie Wonder,1985,3.709766667,59,"Sheriff, Australian Crawl"
2996,Industrial Disease,Dire Straits,1982,5.83955,37,"Blondie, Iron Maiden"
2997,Absolutely Sweet Marie,Bob Dylan,1966,4.903333333,39,"Allman Brothers Band, Traffic, Procol Harum, Free, Grateful Dead"
2998,Surrender,Billy Talent,2006,4.11,58,"Disturbed, AFI, John Lennon"
2999,Raised on Rock,Scorpions,2010,3.978666667,36,"Black Light Burns, ICEHOUSE, British Sea Power"
3000,Femme Fatale,The Velvet Underground,1967,2.65,58,
3001,On Broadway (Single Version),The Drifters,2018,2.99155,26,"City Boy, Players Since Creation, Guano Apes"
3002,Out Of The Blue (Into The Fire),The The,1986,5.127766667,28,
3003,A Design for Life - Remastered,Manic Street Preachers,1996,4.294,56,"Various Artists, Metallica, Stone Temple Pilots, Switchfoot"
3004,Walking with a Ghost,Tegan and Sara,2004,2.504883333,58,Amy Winehouse
3005,Can't Change Me,Chris Cornell,1999,3.374,45,Our Lady Peace
3006,Sunday Girl - Remastered,Blondie,1978,3.092666667,42,Chuck Berry
3007,Stars,Grace Potter & The Nocturnals,2012,3.598883333,49,"Doucette, Local H, Foo Fighters"
3008,I'll Be Your Baby Tonight,Bob Dylan,1967,2.656,46,"King Crimson, Roy Orbison"
3009,Leader of the Band,Dan Fogelberg,1979,4.273316667,63,"Neil Diamond, Fleetwood Mac, Queen"
3010,Sherry,Frankie Valli & The Four Seasons,1962,2.536,60,
3011,Saturday in the Park - 2002 Remaster,Chicago,1972,3.927766667,63,"Marvin Gaye, Todd Rundgren"
3012,White Shadows,Coldplay,2005,5.470316667,53,Pearl Jam
3013,Gods Of War,Def Leppard,1987,6.630216667,49,"Mr. Big, The Cure, New Order, Metallica"
3014,Stay,Various Artists,1987,1.581766667,55,Living Colour
3015,Drain You,Nirvana,1991,3.731333333,60,"Traveling Wilburys, Social Distortion, Melissa Etheridge, R.E.M."
3016,I Ain't Gonna Stand For It,Stevie Wonder,1980,4.6494,27,"Genesis, Heart, Brian Eno"
3017,Isn't It Time,The Babys,1977,4.065333333,52,
3018,Major Tom - Coming Home,Peter Schilling,1989,5.022883333,66,"The Shadows, Tom Petty"
3019,The Engine Driver,The Decemberists,2005,4.253333333,41,"Opshop, American Hi-Fi, Various Artists"
3020,The Crow & the Butterfly,Shinedown,2008,4.226666667,53,
3021,Amie - Remastered 1988,Pure Prairie League,1972,4.323766667,61,"The Stylistics, Crosby, Stills, Nash & Young, David Bowie, Supertramp, Ace"
3022,Goin' Down on It,Hot Action Cop,2003,4.844433333,45,"Daughtry, 3 Doors Down, Billy Talent, Billy Talent, Bush"
3023,My Cherie Amour,Stevie Wonder,1969,2.888433333,64,"Them, The Youngbloods, The Beatles, Sly & The Family Stone, George Harrison"
3024,"Bad, Bad Leroy Brown",Jim Croce,1973,3.037333333,66,"Three Dog Night, Journey, David Bowie, Eagles"
3025,Bankrobber,The Clash,2013,4.5671,50,"The Sheepdogs, Vampire Weekend, Bruce Springsteen, King Gizzard & The Lizard Wizard"
3026,Always Gonna Love You,Gary Moore,1994,3.910666667,34,"KISS, Built To Spill, Primal Scream"
3027,Another Radio Song,Okkervil River,2005,4.998216667,20,Various Artists
3028,Lord of the Flies - 2015 Remaster,Iron Maiden,1995,5.060433333,35,"No Doubt, Elwood, Pretenders, Frank Black"
3029,Dancing Tight - Extended Version,Phil Fearon,2005,4.41555,22,"Johnny Burnette & The Rock 'N' Roll Trio, Black Rebel Motorcycle Club, Ty Segall, The Feeling"
3030,Here Comes the Rain Again - Remastered Version,Eurythmics,1983,4.909766667,64,Beastie Boys
3031,Lie,Black Light Burns,2007,4.318216667,43,"Idlewild, Disturbed, Finger Eleven"
3032,Set Fire to the Rain,Adele,2011,4.028216667,76,"Mumford & Sons, Green Day"
3033,Kick It Out,Heart,1977,2.757766667,38,"Wings, Ebba Grön, Southside Johnny And The Asbury Jukes"
3034,Temptation,The Tea Party,1997,3.41955,27,"Hundred Reasons, The Vines, the feelers, Spoon, Saliva"
3035,Out of Time,Blur,2003,3.88955,56,"The Smashing Pumpkins, Incubus, The Strokes"
3036,Army Dreamers,Kate Bush,1980,2.977333333,51,
3037,Nobody Knows,Lillian Axe,1988,4.326883333,10,"Various Artists, Soul Asylum, April Wine, The Police"
3038,Pull The Plug,Starz,1976,4.71755,10,"Soft Cell, Van Halen, CHIC, Buffalo"
3039,Cursed Sleep,"Bonnie ""Prince"" Billy",2006,5.598433333,28,"Elbow, Thunder, Sufjan Stevens, Clyde McPhatter"
3040,I Just Want to Make Love to You - 2016 Remaster,Foghat,1972,4.346883333,42,Roxy Music
3041,The Way You Move,Since October,2010,3.556216667,30,"Slayer, Jack's Mannequin"
3042,Bron-Y-Aur Stomp - Remaster,Led Zeppelin,1970,4.2891,56,"Jim Croce, The Doobie Brothers, Lou Reed, Humble Pie, The Byrds"
3043,Love To Love You Baby,Donna Summer,1975,16.80888333,46,"Steve Miller Band, David Bowie, Heart"
3044,Not When I Need It,Matthew Sweet,1995,3.462,18,"Primal Scream, Brigitte Bardot, Petula Clark"
3045,Needles and Pins - Mono,The Searchers,1964,2.189333333,57,Jimi Hendrix
3046,All Torn Down,The Living End,1999,4.1111,32,"Goldfinger, The Hellacopters, Sevendust, The White Stripes"
3047,Since You're Gone - Live,The Cars,2020,4.029516667,8,
3048,Car,Built To Spill,1994,2.9851,39,D-A-D
3049,Bridge To Nowhere,Sam Roberts Band,2006,3.150883333,24,"Various Artists, Nonpoint, Elbow, Minus the Bear, Johnny Burnette & The Rock 'N' Roll Trio"
3050,The Man Who Sold the World - 2015 Remaster,David Bowie,1970,4.022433333,63,"The Mamas & The Papas, Eric Carmen, The Rolling Stones, The Supremes"
